HJD-2450000,mag,error
2210.027454,14.778,0.005
2213.029010,14.874,0.006
2208.171971,14.711,0.005
2211.156079,14.820,0.005
2209.287659,14.755,0.005
2212.317344,14.868,0.006
2216.310438,14.717,0.005
2207.461373,14.675,0.005
2213.458788,14.887,0.005
2212.039728,14.857,0.005
2209.379643,14.762,0.006
2217.366662,14.678,0.005
2207.603445,14.686,0.005
2216.584612,14.726,0.005
2217.431585,14.693,0.005
2218.421224,14.681,0.005
2208.625249,14.706,0.005
2209.713163,14.751,0.005
2213.707443,14.859,0.005
2214.639636,14.828,0.005
2215.681617,14.770,0.005
2218.688039,14.693,0.005
2212.809908,14.859,0.005
2214.784082,14.805,0.005
2216.791252,14.738,0.005
2218.826788,14.704,0.005
2208.831057,14.728,0.005
2209.798739,14.759,0.005
2210.801789,14.799,0.005
2212.956847,14.858,0.006
2215.878406,14.757,0.005
2217.818634,14.702,0.005
2207.980998,14.717,0.005
2208.935267,14.750,0.005
2208.986067,14.740,0.005
2210.046208,14.775,0.005
2210.945404,14.814,0.005
2211.964478,14.846,0.005
2212.971564,14.863,0.005
2216.032465,14.758,0.005
2217.946107,14.708,0.005
2212.080201,14.841,0.005
2215.072974,14.791,0.005
2217.043587,14.713,0.005
2209.179888,14.757,0.005
2212.201502,14.849,0.005
2215.198548,14.814,0.005
2218.187167,14.700,0.005
2215.292788,14.783,0.005
2208.413624,14.725,0.005
2210.415334,14.782,0.005
2210.446550,14.797,0.005
2214.372227,14.815,0.005
2216.381533,14.727,0.005
2218.361997,14.685,0.005
2208.479616,14.730,0.005
2210.456045,14.796,0.005
2214.452462,14.833,0.005
2217.490218,14.707,0.005
2207.666588,14.688,0.005
2209.637557,14.770,0.005
2211.641166,14.842,0.005
2213.575460,14.877,0.005
2215.575983,14.779,0.005
2217.564043,14.699,0.005
2218.634629,14.694,0.005
2207.675253,14.708,0.005
2209.709246,14.762,0.005
2210.749328,14.801,0.005
2212.723621,14.852,0.005
2214.705865,14.832,0.005
2216.681701,14.733,0.005
2218.685547,14.683,0.005
2220.755148,14.718,0.005
2222.701073,14.804,0.005
2224.720824,14.843,0.005
2226.726806,14.807,0.005
2228.708458,14.727,0.005
2220.856390,14.743,0.005
2222.853827,14.810,0.005
2225.815385,14.846,0.005
2227.806412,14.775,0.005
2229.831623,14.697,0.005
2219.956600,14.692,0.005
2222.017536,14.764,0.005
2223.982690,14.850,0.005
2226.003390,14.847,0.005
2221.092821,14.736,0.005
2223.117913,14.794,0.005
2226.109024,14.834,0.005
2230.074938,14.710,0.005
2220.210597,14.722,0.005
2222.208153,14.764,0.005
2223.215476,14.803,0.005
2225.255998,14.846,0.005
2226.241126,14.830,0.005
2242.107748,14.703,0.005
2233.219753,14.735,0.005
2242.206142,14.697,0.005
