Wavelength,Flux
4686,2.63E-12
4687.4,2.62E-12
4688.8,2.60E-12
4690.2,2.61E-12
4691.6,2.60E-12
4693,2.60E-12
4694.4,2.61E-12
4695.8,2.63E-12
4697.2,2.65E-12
4698.6,2.60E-12
4700,2.54E-12
4701.4,2.49E-12
4702.8,2.47E-12
4704.2,2.48E-12
4705.6,2.51E-12
4707,2.50E-12
4708.4,2.52E-12
4709.8,2.53E-12
4711.2,2.53E-12
4712.6,2.55E-12
4714,2.54E-12
4715.4,2.53E-12
4716.8,2.54E-12
4718.2,2.55E-12
4719.6,2.54E-12
4721,2.52E-12
4722.4,2.56E-12
4723.8,2.63E-12
4725.2,2.63E-12
4726.6,2.58E-12
4728,2.54E-12
4729.4,2.49E-12
4730.8,2.49E-12
4732.2,2.50E-12
4733.6,2.52E-12
4735,2.53E-12
4736.4,2.50E-12
4737.8,2.50E-12
4739.2,2.52E-12
4740.6,2.54E-12
4742,2.53E-12
4743.4,2.51E-12
4744.8,2.53E-12
4746.2,2.54E-12
4747.6,2.52E-12
4749,2.47E-12
4750.4,2.46E-12
4751.8,2.50E-12
4753.2,2.52E-12
4754.6,2.50E-12
4756,2.50E-12
4757.4,2.53E-12
4758.8,2.55E-12
4760.2,2.54E-12
4761.6,2.51E-12
4763,2.46E-12
4764.4,2.40E-12
4765.8,2.39E-12
4767.2,2.41E-12
4768.6,2.44E-12
4770,2.45E-12
4771.4,2.45E-12
4772.8,2.47E-12
4774.2,2.49E-12
4775.6,2.52E-12
4777,2.52E-12
4778.4,2.50E-12
4779.8,2.49E-12
4781.2,2.48E-12
4782.6,2.46E-12
4784,2.44E-12
4785.4,2.44E-12
4786.8,2.45E-12
4788.2,2.44E-12
4789.6,2.45E-12
4791,2.45E-12
4792.4,2.47E-12
4793.8,2.51E-12
4795.2,2.52E-12
4796.6,2.49E-12
4798,2.49E-12
4799.4,2.49E-12
4800.8,2.48E-12
4802.2,2.45E-12
4803.6,2.44E-12
4805,2.44E-12
4806.4,2.45E-12
4807.8,2.45E-12
4809.2,2.44E-12
4810.6,2.42E-12
4812,2.41E-12
4813.4,2.39E-12
4814.8,2.40E-12
4816.2,2.40E-12
4817.6,2.41E-12
4819,2.43E-12
4820.4,2.45E-12
4821.8,2.44E-12
4823.2,2.40E-12
4824.6,2.36E-12
4826,2.36E-12
4827.4,2.38E-12
4828.8,2.38E-12
4830.2,2.39E-12
4831.6,2.38E-12
4833,2.36E-12
4834.4,2.35E-12
4835.8,2.34E-12
4837.2,2.33E-12
4838.6,2.29E-12
4840,2.29E-12
4841.4,2.30E-12
4842.8,2.27E-12
4844.2,2.21E-12
4845.6,2.17E-12
4847,2.16E-12
4848.4,2.13E-12
4849.8,2.10E-12
4851.2,2.07E-12
4852.6,2.01E-12
4854,1.95E-12
4855.4,1.86E-12
4856.8,1.75E-12
4858.2,1.65E-12
4859.6,1.52E-12
4861,1.34E-12
4862.4,1.25E-12
4863.8,1.28E-12
4865.2,1.41E-12
4866.6,1.55E-12
4868,1.66E-12
4869.4,1.76E-12
4870.8,1.84E-12
4872.2,1.88E-12
4873.6,1.89E-12
4875,1.91E-12
4876.4,1.95E-12
4877.8,2.00E-12
4879.2,2.06E-12
4880.6,2.11E-12
4882,2.14E-12
4883.4,2.14E-12
4884.8,2.13E-12
4886.2,2.11E-12
4887.6,2.11E-12
4889,2.09E-12
4890.4,2.10E-12
4891.8,2.16E-12
4893.2,2.22E-12
4894.6,2.28E-12
4896,2.31E-12
4897.4,2.32E-12
4898.8,2.29E-12
4900.2,2.28E-12
4901.6,2.30E-12
4903,2.32E-12
4904.4,2.28E-12
4905.8,2.27E-12
4907.2,2.29E-12
4908.6,2.29E-12
4910,2.27E-12
4911.4,2.22E-12
4912.8,2.20E-12
4914.2,2.24E-12
4915.6,2.29E-12
4917,2.30E-12
4918.4,2.24E-12
4919.8,2.17E-12
4921.2,2.13E-12
4922.6,2.11E-12
4924,2.13E-12
4925.4,2.19E-12
4926.8,2.25E-12
4928.2,2.30E-12
4929.6,2.34E-12
4931,2.37E-12
4932.4,2.35E-12
4933.8,2.28E-12
4935.2,2.26E-12
4936.6,2.28E-12
4938,2.30E-12
4939.4,2.26E-12
4940.8,2.21E-12
4942.2,2.28E-12
4943.6,2.36E-12
4945,2.31E-12
4946.4,2.33E-12
4947.8,2.34E-12
4949.2,2.32E-12
4950.6,2.31E-12
4952,2.29E-12
4953.4,2.28E-12
4954.8,2.29E-12
4956.2,2.27E-12
4957.6,2.22E-12
4959,2.21E-12
4960.4,2.26E-12
4961.8,2.33E-12
4963.2,2.33E-12
4964.6,2.29E-12
4966,2.23E-12
4967.4,2.23E-12
4968.8,2.27E-12
4970.2,2.28E-12
4971.6,2.28E-12
4973,2.23E-12
4974.4,2.24E-12
4975.8,2.27E-12
4977.2,2.28E-12
4978.6,2.25E-12
4980,2.21E-12
4981.4,2.15E-12
4982.8,2.11E-12
4984.2,2.10E-12
4985.6,2.12E-12
4987,2.13E-12
4988.4,2.16E-12
4989.8,2.20E-12
4991.2,2.21E-12
4992.6,2.21E-12
4994,2.21E-12
4995.4,2.21E-12
4996.8,2.23E-12
4998.2,2.23E-12
4999.6,2.21E-12
5001,2.18E-12
5002.4,2.19E-12
5003.8,2.21E-12
5005.2,2.16E-12
5006.6,2.13E-12
5008,2.11E-12
5009.4,2.11E-12
5010.8,2.11E-12
5012.2,2.07E-12
5013.6,2.04E-12
5015,2.05E-12
5016.4,2.07E-12
5017.8,2.05E-12
5019.2,2.01E-12
5020.6,2.01E-12
5022,2.06E-12
5023.4,2.13E-12
5024.8,2.18E-12
5026.2,2.18E-12
5027.6,2.16E-12
5029,2.15E-12
5030.4,2.17E-12
5031.8,2.19E-12
5033.2,2.21E-12
5034.6,2.22E-12
5036,2.21E-12
5037.4,2.19E-12
5038.8,2.15E-12
5040.2,2.12E-12
5041.6,2.09E-12
5043,2.10E-12
5044.4,2.18E-12
5045.8,2.21E-12
5047.2,2.17E-12
5048.6,2.15E-12
5050,2.15E-12
5051.4,2.15E-12
5052.8,2.13E-12
5054.2,2.12E-12
5055.6,2.15E-12
5057,2.16E-12
5058.4,2.18E-12
5059.8,2.21E-12
5061.2,2.23E-12
5062.6,2.23E-12
5064,2.20E-12
5065.4,2.15E-12
5066.8,2.13E-12
5068.2,2.13E-12
5069.6,2.15E-12
5071,2.15E-12
5072.4,2.10E-12
5073.8,2.08E-12
5075.2,2.10E-12
5076.6,2.13E-12
5078,2.15E-12
5079.4,2.10E-12
5080.8,2.05E-12
5082.2,2.05E-12
5083.6,2.05E-12
5085,2.08E-12
5086.4,2.12E-12
5087.8,2.15E-12
5089.2,2.17E-12
5090.6,2.17E-12
5092,2.16E-12
5093.4,2.14E-12
5094.8,2.10E-12
5096.2,2.06E-12
5097.6,2.04E-12
5099,2.06E-12
5100.4,2.09E-12
5101.8,2.12E-12
5103.2,2.16E-12
5104.6,2.18E-12
5106,2.13E-12
5107.4,2.07E-12
5108.8,2.04E-12
5110.2,2.06E-12
